J.D.-2400000	rel_flux_T1	rel_flux_err_T1
56599.54129	0.211724	0.000151
56599.54282	0.211999	0.000149
56599.54436	0.212057	0.000148
56599.5459	0.211943	0.000148
56599.54744	0.211824	0.000149
56599.54897	0.21191		0.000149
56599.55051	0.212016	0.000148
56599.55204	0.211674	0.000147
56599.55358	0.211759	0.000147
56599.5551	0.211086	0.000147
56599.55664	0.211179	0.000145
56599.55818	0.210931	0.000146
56599.55972	0.211415	0.000146
56599.56126	0.210889	0.000146
56599.56279	0.211161	0.000147
56599.56433	0.210449	0.000146
56599.56587	0.210475	0.000146
56599.5674	0.210316	0.000146
56599.56894	0.210373	0.000145
56599.57048	0.2107		0.000145
56599.572	0.210741	0.000144
56599.57354	0.210755	0.000143
56599.57508	0.210777	0.000144
56599.57662	0.21031		0.000143
56599.57815	0.210862	0.000144
56599.57969	0.210193	0.000143
56599.58123	0.210905	0.000144
56599.58277	0.210845	0.000144
56599.58431	0.210528	0.000142
56599.58583	0.210657	0.000143
56599.58737	0.210562	0.000143
56599.58891	0.210326	0.000143
56599.59044	0.210417	0.000142
56599.59198	0.210631	0.000142
56599.59352	0.210716	0.000142
56599.59506	0.210555	0.000142
56599.59659	0.210388	0.000142
56599.59813	0.210543	0.000142
56599.59966	0.210169	0.000141
56599.6012	0.210251	0.000141
56599.60274	0.210341	0.000141
56599.60427	0.21072		0.000141
56599.60581	0.2108		0.000141
56599.60734	0.210803	0.000141
56599.60888	0.21096		0.000142
56599.61042	0.211104	0.000142
56599.61194	0.210812	0.000142
56599.61348	0.210758	0.000142
56599.61502	0.210389	0.000141
56599.61656	0.210164	0.000141
56599.61809	0.210509	0.000143
56599.61963	0.2104		0.000142
56599.62117	0.210416	0.000142
56599.62271	0.210669	0.000142
56599.62424	0.211082	0.000141
56599.62578	0.210957	0.000142
56599.62732	0.210873	0.000142
56599.62884	0.210545	0.000142
56599.63039	0.210883	0.000141
56599.63192	0.210165	0.000142
56599.63346	0.210266	0.000141
56599.635	0.210633	0.000142
56599.63654	0.211141	0.000142
56599.63808	0.211099	0.000142
56599.63961	0.211291	0.000142
56599.64115	0.210571	0.000141
56599.64269	0.210691	0.000141
56599.64423	0.210645	0.000141
56599.64575	0.21043		0.00014
56599.64729	0.210948	0.000141
56599.64883	0.211222	0.000141
56599.65037	0.211205	0.000142
56599.6519	0.211122	0.000141
56599.65344	0.211659	0.000142
56599.65498	0.211571	0.000142
56599.65652	0.21088		0.000142
56599.65804	0.211429	0.000143
56599.65958	0.211315	0.000141
56599.66111	0.211469	0.000142
56599.66265	0.211709	0.000142
56599.66419	0.212384	0.000143
56599.66572	0.21186		0.000143
56599.66726	0.21215		0.000144
56599.6688	0.211946	0.000144
56599.67034	0.211704	0.000144
56599.67186	0.212288	0.000146
56599.6734	0.211804	0.000145
56599.67494	0.211231	0.000147
56599.67648	0.211667	0.000145
56599.67801	0.211167	0.000145
56599.67955	0.212011	0.000147
56599.68109	0.210792	0.00015
56599.68263	0.21156		0.000146
56599.68569	0.211635	0.000146
56599.68876	0.212521	0.000146
56599.6903	0.212255	0.000145
56599.69184	0.211632	0.000146
56599.69337	0.212484	0.000147
56599.69491	0.21211		0.000146
56599.69645	0.211863	0.000147
56599.69798	0.211805	0.000147
56599.69951	0.211988	0.000147
56599.70105	0.211937	0.000148
56599.70258	0.211723	0.000148
56599.70412	0.211813	0.000147
56599.70565	0.211635	0.000148
56599.70719	0.212062	0.000147
56599.70873	0.211866	0.000148
56599.71027	0.212056	0.000148
56599.71179	0.211759	0.000148
56599.71333	0.212002	0.000149
56599.71487	0.211915	0.00015
56599.7164	0.212071	0.00015
56599.71794	0.211738	0.000151
56599.71948	0.211559	0.000151
56599.72101	0.211629	0.000152
56599.72255	0.211627	0.000151
56599.72407	0.211595	0.000153
56599.72714	0.211973	0.000153
56599.72868	0.211877	0.000154
